,table_name,column_name,field_type,mode,description
0,population_by_country,country,STRING,NULLABLE,
1,population_by_country,country_code,STRING,NULLABLE,
2,population_by_country,year_1960,INTEGER,NULLABLE,
3,population_by_country,year_1961,INTEGER,NULLABLE,
4,population_by_country,year_1962,INTEGER,NULLABLE,
5,population_by_country,year_1963,INTEGER,NULLABLE,
6,population_by_country,year_1964,INTEGER,NULLABLE,
7,population_by_country,year_1965,INTEGER,NULLABLE,
8,population_by_country,year_1966,INTEGER,NULLABLE,
9,population_by_country,year_1967,INTEGER,NULLABLE,
10,population_by_country,year_1968,INTEGER,NULLABLE,
11,population_by_country,year_1969,INTEGER,NULLABLE,
12,population_by_country,year_1970,INTEGER,NULLABLE,
13,population_by_country,year_1971,INTEGER,NULLABLE,
14,population_by_country,year_1972,INTEGER,NULLABLE,
15,population_by_country,year_1973,INTEGER,NULLABLE,
16,population_by_country,year_1974,INTEGER,NULLABLE,
17,population_by_country,year_1975,INTEGER,NULLABLE,
18,population_by_country,year_1976,INTEGER,NULLABLE,
19,population_by_country,year_1977,INTEGER,NULLABLE,
20,population_by_country,year_1978,INTEGER,NULLABLE,
21,population_by_country,year_1979,INTEGER,NULLABLE,
22,population_by_country,year_1980,INTEGER,NULLABLE,
23,population_by_country,year_1981,INTEGER,NULLABLE,
24,population_by_country,year_1982,INTEGER,NULLABLE,
25,population_by_country,year_1983,INTEGER,NULLABLE,
26,population_by_country,year_1984,INTEGER,NULLABLE,
27,population_by_country,year_1985,INTEGER,NULLABLE,
28,population_by_country,year_1986,INTEGER,NULLABLE,
29,population_by_country,year_1987,INTEGER,NULLABLE,
30,population_by_country,year_1988,INTEGER,NULLABLE,
31,population_by_country,year_1989,INTEGER,NULLABLE,
32,population_by_country,year_1990,INTEGER,NULLABLE,
33,population_by_country,year_1991,INTEGER,NULLABLE,
34,population_by_country,year_1992,INTEGER,NULLABLE,
35,population_by_country,year_1993,INTEGER,NULLABLE,
36,population_by_country,year_1994,INTEGER,NULLABLE,
37,population_by_country,year_1995,INTEGER,NULLABLE,
38,population_by_country,year_1996,INTEGER,NULLABLE,
39,population_by_country,year_1997,INTEGER,NULLABLE,
40,population_by_country,year_1998,INTEGER,NULLABLE,
41,population_by_country,year_1999,INTEGER,NULLABLE,
42,population_by_country,year_2000,INTEGER,NULLABLE,
43,population_by_country,year_2001,INTEGER,NULLABLE,
44,population_by_country,year_2002,INTEGER,NULLABLE,
45,population_by_country,year_2003,INTEGER,NULLABLE,
46,population_by_country,year_2004,INTEGER,NULLABLE,
47,population_by_country,year_2005,INTEGER,NULLABLE,
48,population_by_country,year_2006,INTEGER,NULLABLE,
49,population_by_country,year_2007,INTEGER,NULLABLE,
50,population_by_country,year_2008,INTEGER,NULLABLE,
51,population_by_country,year_2009,INTEGER,NULLABLE,
52,population_by_country,year_2010,INTEGER,NULLABLE,
53,population_by_country,year_2011,INTEGER,NULLABLE,
54,population_by_country,year_2012,INTEGER,NULLABLE,
55,population_by_country,year_2013,INTEGER,NULLABLE,
56,population_by_country,year_2014,INTEGER,NULLABLE,
57,population_by_country,year_2015,INTEGER,NULLABLE,
58,population_by_country,year_2016,INTEGER,NULLABLE,
59,population_by_country,year_2017,INTEGER,NULLABLE,
60,population_by_country,year_2018,INTEGER,NULLABLE,
61,population_by_country,year_2019,INTEGER,NULLABLE,
