,table_name,column_name,field_type,mode,description
0,country_series_definitions,country_code,STRING,NULLABLE,
1,country_series_definitions,series_code,STRING,NULLABLE,
2,country_series_definitions,description,STRING,NULLABLE,
3,country_summary,country_code,STRING,NULLABLE,A short alphabetic or numeric geographical code representing a specific country or area. In April 2016 WDI has adopted the three digit ISO code to identify countries in its databases.
4,country_summary,short_name,STRING,NULLABLE,Country name the country's official name as approved by the relevant body (Italy is used as an example): conventional short form (Italy).
5,country_summary,table_name,STRING,NULLABLE,Country name the country's name as approved by the relevant body (Italy is used as an example): conventional short form (Republic of Italy).
6,country_summary,long_name,STRING,NULLABLE,Country name the country's name as approved by the relevant body (Italy is used as an example): conventional long form (Republic of Italy).
7,country_summary,two_alpha_code,STRING,NULLABLE,ISO-2 digit alpha code value of the country. Re: www.iso.org
8,country_summary,currency_unit,STRING,NULLABLE,Currency unit (such as the dollar euro peso rupee) issued as a coin or banknote a standard unit of value and a unit of account.
9,country_summary,special_notes,STRING,NULLABLE,Country special notes for data and metadata users.
10,country_summary,region,STRING,NULLABLE,World Bank region to which a country belongs.
11,country_summary,income_group,STRING,NULLABLE,World Bank income group to which a country belongs after the country classification is completed every year.
12,country_summary,wb_2_code,STRING,NULLABLE,World Bank 2 digit code value of the country.
13,country_summary,national_accounts_base_year,STRING,NULLABLE,Base year is the base or pricing period used for constant price calculations in the country’s national accounts. Price indexes derived from national accounts aggregates such as the implicit deflator for gross domestic product (GDP) express the price level relative to base year prices.
14,country_summary,national_accounts_reference_year,STRING,NULLABLE,Reference year is the year in which the local currency constant price series of a country is valued. The reference year is usually the same as the base year used to report the constant price series. However when the constant price data are chain linked the base year is changed annually so the data are rescaled to a specific reference year to provide a consistent time series. When the country has not rescaled following a change in base year World Bank staff rescale the data to maintain a longer historical series. To allow for cross-country comparison and data aggregation constant price data reported in World Development Indicators are rescaled to a common reference year (2010) and currency (U.S. dollars).
15,country_summary,sna_price_valuation,STRING,NULLABLE,SNA price valuation shows whether value added in the national accounts is reported at basic prices (B) or producer prices (P). Producer prices include taxes paid by producers and thus tend to overstate the actual value added in production. However value added can be higher at basic prices than at producer prices in countries with high agricultural subsidies.
16,country_summary,lending_category,STRING,NULLABLE,World Bank lending category to which a country belongs after the operational guidelines are completed every year.
17,country_summary,other_groups,STRING,NULLABLE,Other types of grouping approved by the WDI team.
18,country_summary,system_of_national_accounts,STRING,NULLABLE,System of National Accounts identifies whether a country uses the 1968 1993 or 2008 System of National Accounts (SNA). The 2008 SNA is an update of the 1993 SNA and retains its basic theoretical framework.
19,country_summary,alternative_conversion_factor,STRING,NULLABLE,Alternative conversion factor identifies the countries and years for which a World Bank–estimated conversion factor has been used in place of the official exchange rate (line rf in the International Monetary Fund’s [IMF] International Financial Statistics). See later in Sources and methods for further discussion of alternative conversion factors.
20,country_summary,ppp_survey_year,STRING,NULLABLE,Purchasing power parity (PPP) survey year is the latest available survey year for the International Comparison Program’s estimates of PPPs.
21,country_summary,balance_of_payments_manual_in_use,STRING,NULLABLE,Balance of Payments Manual in use refers to the classification system used to compile and report data on balance of payments. 6 refers to the 6th edition of the IMF’s Balance of Payments Manual (2009).
22,country_summary,external_debt_reporting_status,STRING,NULLABLE,External debt shows debt reporting status for 2016 data. A indicates that data are as reported P that data are based on reported or collected information but include an element of staff estimation and E that data are World Bank staff estimates.
23,country_summary,system_of_trade,STRING,NULLABLE,System of trade refers to the United Nations general trade system (G) or special trade system (S). Under the general trade system goods entering directly for domestic consumption and goods entered into customs storage are recorded as imports at arrival. Under the special trade system goods are recorded as imports when declared for domestic consumption whether at time of entry or on withdrawal from customs storage.
24,country_summary,government_accounting_concept,STRING,NULLABLE,Government finance accounting concept is the accounting basis for reporting central government financial data. For most countries government finance data have been consolidated (C) into one set of accounts capturing all central government fiscal activities. Budgetary central government accounts (B) exclude some central government units.
25,country_summary,imf_data_dissemination_standard,STRING,NULLABLE,IMF data dissemination standard shows the countries that subscribe to the IMF’s Special Data Dissemination Standard (S) or Enhanced General Data Dissemination System (e-GDDS). S refers to countries that subscribe to the SDDS and have posted data on the Dissemination Standards Bulletin Board at http://dsbb.imf.org. S+ countries must observe additional coverage periodicity and timeliness requirements. e-G refers to countries that subscribe to the e-GDDS.
26,country_summary,latest_population_census,STRING,NULLABLE,Latest population census shows the most recent year in which a census was conducted and in which at least preliminary results have been released. The preliminary results from the very recent censuses could be reflected in timely revisions if basic data are available such as population by age and sex as well as the detailed definition of counting coverage and completeness.
27,country_summary,latest_household_survey,STRING,NULLABLE,Latest demographic education or health household survey indicates the household surveys used to compile the demographic education and health data. Detailed information on each survey is provided through the following links:  AIDS Indicator Survey Demographic and Health Survey Health Issues Survey and Malaria Indicator Survey - www.dhsprogram.com; Living Standards Measurement Study -  www.worldbank.org/lsms; Multiple Indicator Cluster Survey - http://mics.unicef.org; Reproductive Health Survey -  www.cdc.gov/reproductivehealth; World Health Survey is available at - www.who.int/healthinfo/survey/en.
